"page #",x,y,text
1,708.472400,2812.770133,"投 神 聖 的 票 　 選 賢 能 的 人"
1,708.472400,52.592533,"投 神 聖 的 票 　 選 賢 能 的 人"
1,1515.722667,2608.934400,"　高雄市選舉委員會  編印"
1,74.869733,2538.084667,"高雄市第 1 屆議員選舉，經定於中華民國九十九年十一月二十七日(星期六)上午八時起至下午四時止舉行投票。茲依公職人員選舉罷免法第"
1,74.869733,2498.074000,四十七條規定，將候選人所填之政見及個人資料刊登如下，候選人個人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,129.041867,2674.436800,高雄市第1屆議員選舉第5選舉區選舉公報
1,71.777333,2432.247067,"號 次"
1,168.661467,2432.247067,相　　　　　　片
1,354.448000,2442.799867,
1,407.886533,2453.690800,出生
1,417.486533,2433.684400,年
1,407.886533,2413.678000,月日
1,477.282667,2442.799867,
1,577.965333,2453.690800,推薦
1,587.565333,2433.684400,之
1,577.965333,2413.678000,政黨
1,672.897600,2432.247067,"學　　　　　　　歷 經　　　　　　　　　　歷 政　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　見"
1,83.038133,2279.637733,1
1,413.739067,2362.325867,58
1,415.083067,2332.085867,年
1,413.739067,2301.845867,11
1,415.083067,2271.605867,月
1,420.411067,2241.365867,8
1,415.083067,2211.125867,日
1,470.446267,2285.933333,男
1,644.409467,2297.943467,國立高雄師範大學
1,644.409467,2281.943467,成教所碩士畢業
1,871.182800,2313.943467,1.嘉義竹崎國小教師。
1,871.182800,2297.943467,2.嘉義師範附設國小教師。
1,871.182800,2281.943467,3.高雄縣議會第14、15、16屆縣議員。
1,1173.542800,2378.956800,1.全心奉獻、不計利害，為民服務。
1,1173.542800,2359.183467,2.督促政府改善治安維護人民權益。
1,1173.542800,2339.410133,3.監督政府提升為民服務品質，改善人民生活環境。
1,1173.542800,2319.636800,4.督促政府提高教育品質，防制毒品、暴力流入校園。
1,1173.542800,2299.863467,5.促請政府落實就業輔導及工安維護。
1,1173.542800,2280.090133,6.促請政府加速強化農漁業發展，增進民間經濟活力。
1,1173.542800,2260.316800,7.促請政府落實觀光產業發展，提升高雄都會區域生活條件。
1,1173.542800,2240.543467,8.促請政府積極推行社會倫理建設及人民生活文化品質。
1,1173.542800,2220.770133,9.督促政府依法行政，加速都市建設提高國際競爭力。
1,1173.542800,2200.996800,10.強力監督政府保障合法、公平落實市民各項福利措施。
1,83.038133,2064.204533,2
1,413.739067,2146.892800,56
1,415.083067,2116.652800,年
1,420.411067,2086.412800,2
1,415.083067,2056.172800,月
1,413.739067,2025.932800,22
1,415.083067,1995.692800,日
1,470.446267,2070.500133,女
1,644.409467,2090.510400,國立中山大學高階公共政策碩士
1,644.409467,2074.510400,輔英護專
1,644.409467,2058.510400,育英護校
1,871.182800,2133.843733,第十五、十六屆高雄縣議員。
1,871.182800,2114.070400,高雄縣議會國民黨團執行長、副書記長。
1,871.182800,2094.297067,高雄縣議會第１６屆教育小組召集人。
1,871.182800,2074.523733,國民黨青年團大社分團團長。
1,871.182800,2054.750400,大社婦聯會主委。
1,871.182800,2034.977067,高雄縣身心障礙就業基金管委會委員。
1,871.182800,2015.203733,國際佛光會大社分會顧問。
1,1173.542800,2163.550400,1.重視環境生態保護，監督公害污染防治，打造綠色低碳家園。
1,1173.542800,2143.777067,2.重視基層衛生醫療，協助推展衛生保健及就醫常識。
1,1173.542800,2124.003733,3.強化家庭教育功能，關心家庭暴力問題，倡導兩性平權觀念。
1,1173.542800,2104.230400,4.督促改善校園建築與設備，提供學子優質學習環境。
1,1173.542800,2084.457067,5.關懷社會弱勢團體，推動制定婦幼福利與安全政策，建全社會福利網路。
1,1173.542800,2064.683733,6.縮短城鄉差距，快速推動大高雄公共建設。
1,1173.542800,2044.910400,7.關心農業與農民生存權，推動發展地方產業特色。
1,1173.542800,2025.137067,8.提昇大高雄觀光產業品質，促進觀光景點永續經營。
1,1173.542800,2005.363733,9.建議調整就業人力落差，創造地方就業機會，提高平均就業率。
1,1173.542800,1985.590400,10.推動地方公共藝術建設，保
1,1352.078400,1985.502400,存地方文化資產，提升人文藝術氣息。
1,83.038133,1848.771333,3
1,413.739067,1931.459467,57
1,415.083067,1901.219467,年
1,420.411067,1870.979467,1
1,415.083067,1840.739467,月
1,413.739067,1810.499467,11
1,415.083067,1780.259467,日
1,470.446267,1855.066933,女
