"page #",x,y,text
1,34.053467,2622.298667,臺灣省新竹市議會第９屆議員選舉第３選舉區選舉公報
1,1519.776400,2575.514800,新竹市選舉委員會　編印
1,27.968400,2523.955067,　　臺灣省新竹市議會第9屆議員選舉，經定於中華民國一百零三年十一月
1,27.968400,2494.614623,二十九日(星期六)上午八時起至下午四時止舉行投票。茲依公職人員選舉罷免法
1,27.968400,2465.274180,第四十七條規定，將候選人所填之政見及個人資料刊登如下，候選人個人資料係
1,27.968400,2435.933737,依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,1018.670688,2500.734916,客雅里、中雅里、育英里、曲溪里、西雅里、南勢里、大鵬里、西門里、仁德里、潛園里、
1,1018.670688,2462.070290,中央里、崇禮里、石坊里、興南里、台溪里
1,24.188933,2383.305067,壹、臺灣省新竹市議會第9屆議員選舉第3選舉區候選人：
1,31.489600,2332.022667,"號次 相    片 姓名"
1,332.620139,2345.628987,出　生
1,332.620139,2318.416347,年月日
1,418.725467,2332.022667,性別
1,482.920933,2332.022667,出生地
1,565.984933,2345.628933,推薦之
1,565.984933,2318.416293,政　黨
1,673.815019,2332.022613,"學       歷 經        歷 政               見"
1,34.053467,2067.753867,1
1,354.709467,2144.797067,64
1,360.662233,2091.883733,1
1,354.709467,2038.970400,28
1,654.926133,2143.896533,(1)康寧大學管理學碩士
1,672.478133,2119.896533,畢業。
1,654.926133,2095.896533,"(2)大 華 科 技 大 學 化 工"
1,672.478133,2071.896533,科。
1,654.926133,2047.896533,(3)光復中學。
1,840.126133,2179.896533,(1)新竹市擎天自強協會理事長。
1,840.126133,2155.896533,(2)新竹市三民國中家長會副會長。
1,840.126133,2131.896533,(3)新竹市立民富國小家長會會長。
1,840.126133,2107.896533,(4)新竹市道路交通事故關懷協會顧
1,857.678133,2083.896533,問團團長。
1,840.126133,2059.896533,(5)新竹市記者府會聯誼會總幹事。
1,840.126133,2035.896533,(6)臺灣導報新竹區特派記者。
1,1114.558133,2215.896533,一貫三強六全十大為民政見：
1,1114.558133,2191.896533,1、貫徹執行照顧三中(中小企業、中產階級、中低收入戶)與弱勢團體，加強維護新住民及原住民權益，促進族群
1,1138.078133,2167.896533,和諧。
1,1114.558133,2143.896533,2、強化幼教托育，增進幼兒福利。
1,1114.558133,2119.896533,3、強化安養照顧與扶助老弱。
1,1114.558133,2095.896533,4、強力推動網路監督機制，促進市政透明化。
1,1114.558133,2071.896533,5、全力維護基礎建設。
1,1114.558133,2047.896533,6、全力美化市容。
1,1114.558133,2023.896533,7、全力監督市政，打貪滅腐。
1,1114.558133,1999.896533,8、全力推動都市更新，促使靖廬遷移並與北區協調推動棒球場與監獄的遷移，繁榮區域經濟。
1,1114.558133,1975.896533,9、全力設置各里集會所，廣設社區大學與活絡里民休閒生活。
1,1114.558133,1951.896533,10、全力推動公地鬆綁，讓西區公園與閒置地做為文創產業發展基地，促進區域繁榮並使產業升級。
1,34.053467,1623.281200,2
1,354.709467,1700.324533,51
1,360.662233,1647.411200,1
1,360.662233,1594.497867,2
1,654.926133,1639.424267,明新工專
1,840.126133,1651.424267,駱克銘市議員助理
1,840.126133,1627.424267,南昌工程經理
1,1114.558133,1687.424267,一、為西區選民謀求各項福利。
1,1114.558133,1663.424267,二、誠心為民服務、維護市民權益、爭取地方建設。
1,1114.558133,1639.424267,三、爭取早日興建攤販集中市場以利營生。
1,1114.558133,1615.424267,四、促進大新竹建設與繁榮。
1,1114.558133,1591.424267,五、注重校園改革、維護校園安全。
1,34.053467,1178.809200,3
1,354.709467,1255.852400,48
1,360.662233,1202.939067,4
1,354.709467,1150.025733,23
1,654.926133,1206.952000,醒吾科技大學企業管理
1,654.926133,1182.952000,科畢業
1,840.126133,1266.952000,一、文化大學地政班第三期結業
1,840.126133,1242.952000,二、新竹市新聞記者公會第3、6、7屆
1,869.230133,1218.952000,理事長
1,840.126133,1194.952000,三、（林政則）市長室秘書
1,840.126133,1170.952000,"四 、 新 竹 市 北 區 後 備 軍 人 輔 導 中 心 　"
1,869.230133,1146.952000,組長
1,840.126133,1122.952000,五、陳氏宗親會　西區區長
1,1114.558133,1314.952000,一、持續關心大鵬新城住戶之生活品質及中雅里未來發展‧
1,1114.558133,1290.952000,二、關懷新住民生活習慣之融合及其子女之教育問題‧
1,1114.558133,1266.952000,三、改善市區風貌及歷史景物的保存與維護‧
1,1114.558133,1242.952000,四、重視中小學生營養午餐品質的穩定與真正普及化‧
1,1114.558133,1218.952000,五、西門聯里七里幾乎均無里集會所　建議將新竹幼稚園現址建成綜合大樓‧一樓保留為幼稚園使用，部份樓層供
1,1146.542133,1194.952000,作附近各里集會等所用‧一舉數得‧
1,1114.558133,1170.952000,六、「靖廬」應早日遷移‧現址可作多種開發使用‧如成德中學遷至此‧連同附近作整體開發‧加速西區的發展‧
1,1114.558133,1146.952000,七、爭取設置客雅里集會所或活動中心
1,1114.558133,1122.952000,八、儘快促成新竹監獄和看守所的遷移‧加速西區發展‧
1,1114.558133,1098.952000,九、爭取更多資源發展西區並改善居民生活品質‧如市區排水、關鍵巷道之打通等‧
1,1114.558133,1074.952000,十、關切竹光路銜接景觀大道新闢道路案之公平正義‧
1,34.053467,734.336933,4
1,354.709467,811.380000,40
1,354.709467,758.466667,11
1,354.709467,705.553333,25
1,654.926133,774.479467,1、陸軍官校專修班。
1,654.926133,750.479467,2、陸軍士官學校。
1,840.126133,798.479467,1、新竹市14、15屆里長。
1,840.126133,774.479467,2、新竹市5、6、7、8屆市議員。
1,840.126133,750.479467,3、新竹市竹塹長青會理事長。
1,840.126133,726.479467,4、新竹市跆拳道委員會主任委員。
1,840.126133,702.479467,5、新竹市樂齡關懷協會副會長。
1,1114.558133,750.479467,監督市政，為民服務。
1,34.053467,289.864400,5
1,354.709467,366.907600,37
1,360.662233,313.994267,1
1,354.709467,261.080933,10
1,654.926133,306.006933,東吳大學企管系畢業
1,840.126133,390.006933,(1)新竹市議會第四、五、六、七、
1,857.678133,366.006933,八屆議員
1,840.126133,342.006933,(2)民進黨新竹市黨部主委、執行委
1,857.678133,318.006933,員、評議委員
1,840.126133,294.006933,(3)獅子會會長，獅子會聯誼會主席
1,840.126133,270.006933,(4)北極長青會理事長
1,840.126133,246.006933,(5)振樂軒北管協進會理事長
1,840.126133,222.006933,(6)鄭氏宗親會副理事長。
1,1114.558133,354.006933,(1)清白參政、強力監督市政。
1,1114.558133,330.006933,(2)全天候廿四小時服務市民
1,1114.558133,306.006933,(3)關懷弱勢團體
1,1114.558133,282.006933,(4)爭取鄰里基礎建設
1,1114.558133,258.006933,(5)反對利用特權承包工程。
1,577.606267,37.830933,投開票所地點表請參閱市長選舉公報背面
