"page #",x,y,text
1,2852.342200007,1345.9413991679,
1,20.958199496378,1345.9413991679,
1,649.60639938773,-32.357400004037,全民不賄選，還給山城清淨天
1,269.85640045336,3956.8026004937,附註：投（開）票所地點表請參閱臺灣省苗栗縣第17屆縣長選舉選舉公報背面
1,166.6345994712,145.31319901813,臺灣省苗栗縣議會第
1,1391.5480002595,147.65739901843,18
1,1527.9469992359,145.31319901813,屆議員選舉選舉公報
1,2038.2322001477,248.63820003103,苗栗縣選舉委員會編印
1,143.95739997512,353.89500004416,　　臺灣省苗栗縣議會第18屆議員選舉，經定於中華民國一百零三年十一月二十九日(星期六)上午八
1,143.95739997512,425.65980005311,時起至下午四時止舉行投票。茲依公職人員選舉罷免法第四十七條規定，將候選人所填之政見及個人
1,143.95739997512,497.42460006207,資料刊登如下，候選人個人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,292.57487994943,609.050199076,號次
1,429.82000042571,609.050599576,"相    片 姓名"
1,795.63599986249,582.6505995727,出　生
1,795.63599986249,635.45059957929,年月日
1,950.99999983564,582.6505995727,性
1,950.99999983564,635.45059957929,別
1,1022.5132003233,609.050599576,出生地
1,1161.0694002993,582.6504000727,推薦之
1,1161.0694002993,635.45040007929,政　黨
1,1346.5733997673,609.050400076,"學       歷 經        歷 政               見"
1,303.7780004475,977.57919912198,1
1,838.61119935506,848.62639960589,45
1,850.11119985307,940.62639911737,9
1,838.61119935506,1032.6264001289,12
1,1315.9951992726,936.0643996168,世界新聞專科學校廣播電視科
1,1315.9951992726,970.05840012105,國立政治大學民族學系碩士班
1,1653.1981992143,868.05339910832,陸軍汽基處汽車修護、駕駛。
1,1653.1981992143,902.04739961256,中央廣播電台編撰、節目主持
1,1653.1981992143,936.0414001168,人、導播、主編等職。
1,1653.1981992143,970.03539912104,苗栗縣政府原住民族行政處科
1,1653.1981992143,1004.0293996253,員（賽夏文物館）。
1,1653.1981992143,1038.0234001295,苗栗縣議會第十七屆議員。
1,1990.401199156,834.01339960407,一、推動原住民族部落學校，民族文化教育自部落出發。
1,1990.401199156,868.00740010831,二、推動原住民族語言振興，搶救瀕臨消失語言文化。
1,1990.401199156,902.00139911255,三、推動原住民族文化創意產業，創造工藝最高附加價值。
1,1990.401199156,935.9953996168,四、推動原住民族地區觀光遊憩產業，增加在地就業機會。
1,1990.401199156,969.98940012104,五、加強原住民族社會福利工作，照顧弱勢、減低負擔。
1,1990.401199156,1003.9833991253,六、加強都會區原住民族各項政策落實工作，尋找問題、主動服務。
1,1990.401199156,1037.9773996295,七、加強原住民族職業訓練，提昇競爭力，立即就業。
1,1990.401199156,1071.9714001338,八、加強泰雅、賽夏兩座文物館各項功能，成為文化地標。
1,303.7780004475,1544.5083991927,1
1,838.61119935506,1415.5555996766,46
1,850.11119985307,1507.5555991881,5
1,838.61119935506,1599.5556001996,23
1,1315.9951992726,1451.9934001812,汶水國小
1,1315.9951992726,1485.9873991854,培元中學
1,1315.9951992726,1519.9813996897,苗栗中學
