"page #",x,y,text
1,91.904800,2075.982533,
1,104.384933,2064.868000,臺北市士林區後港里第
1,588.458267,2063.275600,12
1,659.647200,2064.868000,屆里長選舉選舉公報
1,1108.300400,2106.886667,臺北市選舉委員會
1,1108.300400,2057.544000,臺北市士林區公所
1,1368.332000,2064.868000,　
1,1415.558533,2074.525600,編印
1,1476.891867,2064.868000,
1,95.684533,1969.022133,"臺北市第 12 屆里長選舉，經定於中華民國一百零三年十一月二十九日（星期六）上午八時起至下午四時止舉行投票，茲依公職人員選舉罷免法"
1,95.684533,1931.678133,第四十七條規定，將候選人所填報之政見及個人資料刊登如下，候選人個人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,91.904800,1855.862133,"號次 相　片 姓　名"
1,392.960133,1855.867333,出生年月日
1,511.778933,1855.867333,"性別 出生地"
1,661.306533,1855.867333,推薦之政黨
1,792.692400,1855.867333,"學　歷 經　歷 政　　　　　見"
1,102.764000,1732.520533,1
1,267.012533,1741.679333,"紀 建 漢"
1,391.493467,1744.486667,71年1月16日
1,525.112267,1743.283467,男
1,581.369467,1743.684533,臺北市
1,668.639867,1744.085600,民主進步黨
1,775.778933,1785.689733,一.百齡國小　
1,775.778933,1769.689733,二.陽明國中　
1,775.778933,1753.689733,"三 . 泰北高級中學"
1,775.778933,1737.689733,"四 . 北台科學技術"
1,798.458933,1721.689733,學院電子工程
1,798.458933,1705.689733,系畢業
1,889.165600,1809.689733,"一 . 第 10、11 屆後港里里長"
1,911.845600,1793.689733,候選人
1,889.165600,1777.689733,"二 . 後港墘社區發展協會理"
1,911.845600,1761.689733,事長
1,889.165600,1745.689733,"三 . 百齡宮志工"
1,889.165600,1729.689733,"四 . 華碩電腦研發工程師"
1,889.165600,1713.689733,"五 . 文中電腦維修工程師"
1,889.165600,1697.689733,"六 . 亞利安科技公司業務經"
1,911.845600,1681.689733,理
1,1059.243600,1811.570667,"一 . 關懷弱勢及爭取老人、幼兒托照中心。"
1,1059.243600,1797.010667,"二 . 定期舉辦中秋節晚會…等活動。"
1,1059.243600,1782.450667,"三 . 爭取汰換老舊天然瓦斯管線。"
1,1059.243600,1767.890667,"四 . 爭取全里後巷衛生下水道更新。"
1,1059.243600,1753.330667,"五 . 推動公辦都更計畫。"
1,1059.243600,1738.770667,"六 . 爭取閒置電線桿遷移計畫。"
1,1059.243600,1724.210667,"七 . 爭取老舊水溝及人行道整建工程。"
1,1059.243600,1709.650667,"八 . 全里加裝夜間照明感應燈，維護社區安全。"
1,1059.243600,1695.090667,"九 . 督促政府電纜地下化。"
1,1059.243600,1680.530667,"十 . 回饋金透明化、絕不置於私人口袋、定將每一份經費用於里內。"
1,102.764000,1581.339733,2
1,267.012533,1590.498533,"楊 義 清"
1,395.393333,1593.305867,31年6月6日
1,525.112267,1592.102667,男
1,581.369467,1592.503733,臺北市
1,668.639867,1592.904800,中國國民黨
1,775.778933,1602.508933,陽明國中補校畢
1,775.778933,1586.508933,業
1,889.165600,1650.508933,第七八九十十一屆里長　北
1,889.165600,1634.508933,市義警士林大隊指導員　後
