"page #",x,y,text
1,208.496533,2809.996000,臺灣省花蓮縣第17屆縣長選舉選舉公報
1,1556.524400,2772.450933,花蓮縣選舉委員會　編印
1,102.135333,2732.098000,"臺灣省花蓮縣第 屆縣長選舉，經定於 舉行投票 。茲 依 公"
1,102.135333,2695.339867,"職人員選舉罷免法第 條規定，將候選人所填報之政見及個人資料刊登如下，候選人個人資料係依據候選人所填列"
1,102.135333,2658.581333,資料刊登，如有不實，由候選人自行負責。
1,359.853333,2732.098000,17
1,434.082133,2695.339867,47
1,737.295200,2732.098000,中華民國103年11月29日(星期六)上午8時起至下午4時止
1,117.989733,2632.212267,號次
1,215.936133,2602.694933,相片
1,797.062267,2604.740400,"學 、 經 歷"
1,1411.243467,2604.783867,"政        　 　 　          見"
1,353.861333,2634.380533,姓名
1,475.552267,2634.380533,性別
1,522.165200,2644.784533,出生地
1,440.181200,2643.279067,年月日
1,417.166832,2643.279600,出　生
1,580.883200,2643.552800,之政黨
1,557.868832,2643.553333,推　薦
1,100.629600,1183.574533,選舉投票有關規定包括下列內容：
1,100.629600,1167.842267,一、投票時間：中華民國一百零三年十一月二十九日（星期六）上午八時起至下午四時止。
1,100.629600,630.687067,五、選舉票有下列情形之一者無效：
1,129.429200,616.020267,1.圈選二人以上。
1,129.429200,601.353467,2.不用選舉委員會製發之選舉票。
1,129.429200,586.686667,3.所圈位置不能辨別為何人。
1,129.429200,572.019867,4.圈後加以塗改。
1,129.429200,557.353067,5.簽名、蓋章、按指印、加入任何文字或符號。
1,129.429200,542.686267,6.將選舉票撕破致不完整。
1,129.429200,528.019467,7.將選舉票污染致不能辨別所圈選為何人。
1,129.429200,513.352667,8.不加圈完全空白。
1,129.429200,498.685867,9.不用選舉委員會製備之圈選工具。
1,100.629600,1153.176133,二、選舉人資格：
1,129.429200,1138.509333,1.中華民國國民年滿二十歲，即民國八十三年十一月二十九日(包括當日)以前出生，除受監護宣告尚未撤銷者外，在各該選舉區內繼續居住四個月以上，
1,144.243733,1122.698800,即民國一百零三年七月二十九日(包括當日)以前遷入設有戶籍，至民國一百零三年十一月二十八日繼續居住者，有縣長、縣議員、鄉（鎮、市）長、鄉
1,144.243733,1106.888267,（鎮、市）民代表、村（里）長選舉投票權。【上項居住期間，在行政區域劃分選舉區者，仍以行政區域為範圍計算之。但於選舉公告發布(一百零三
1,144.243733,1091.077733,年八月二十一日含當日)後，遷入各該選舉區者，無選舉投票權。】
1,129.429200,1075.267200,2.原住民選出之縣議員、鄉（鎮、市）民代表，其選舉人須符合前款規定，並分別具有「平地原住民」或「山地原住民」身分者為限。
1,100.629600,1060.600800,三、選舉人投票應注意事項：
