"page #",x,y,text
1,115.66039951645,1195.231399618,貳、蘇澳鎮鎮民代表第4選舉區（龍德里、頂寮里、永榮里、存仁里、港邊里、隘丁里、新城里）候選人
1,108.13260001538,2596.8265997565,參、蘇澳鎮里長候選人
1,205.84860002928,2651.6445992619,龍德里里長候選人
1,201.7393995287,3791.1465993744,頂寮里里長候選人
1,201.7393995287,4208.4199999156,永榮里里長候選人
1,201.7393995287,4619.4942004562,存仁里里長候選人
1,609.80880008674,1653.6321991633,
1,384.88699955475,1575.5263996556,"林 森 豪"
1,443.23380006305,1592.9871991573,49
1,443.23380006305,1623.5037991603,
1,443.23380006305,1655.7360001635,06
1,443.23380006305,1686.2526001665,
1,443.23380006305,1718.4841996697,26
1,443.23380006305,1749.0001996727,
1,498.26899957088,1672.8505996652,
1,554.49859957888,1576.7826001557,"     "
1,609.80880008674,1897.3203991874,
1,384.88699955475,1818.6475996796,"陳 映 蓉"
1,443.23380006305,1836.1086001813,60
1,443.23380006305,1866.6246001843,
1,443.23380006305,1898.8561996875,04
1,443.23380006305,1929.3721996905,
1,443.23380006305,1961.6043991937,18
1,443.23380006305,1992.1209991967,
1,498.26899957088,1915.9717996892,
1,554.49859957888,1819.9039996797,"     "
1,125.48179951785,1434.2244001416,1
1,125.48179951785,1676.9725996656,2
1,125.48179951785,1919.7207991896,3
1,125.48179951785,2162.4690002136,4
1,125.48179951785,2405.2171997375,5
1,609.80880008674,2136.624000211,
1,384.88699955475,2063.6205992038,"王 明 義"
1,443.23380006305,2081.0814002055,43
1,443.23380006305,2111.5980002085,
1,443.23380006305,2143.8295997117,06
1,443.23380006305,2174.3461997147,
1,443.23380006305,2206.5777992179,22
1,443.23380006305,2237.0937992209,
1,498.26899957088,2160.9447992134,
1,554.49859957888,2064.8769992039,"     "
1,609.80880008674,1355.3781991339,"    "
1,384.88699955475,1338.4813996322,"陳 志 明"
1,443.23380006305,1355.9421991339,45
1,443.23380006305,1386.4587991369,
1,443.23380006305,1418.6910001401,01
1,443.23380006305,1449.2076001431,
1,443.23380006305,1481.4391996463,05
1,443.23380006305,1511.9551996493,
1,498.26899957088,1435.8055996418,
1,554.49859957888,1339.7377996323,"     "
1,609.80880008674,2327.4093992298,"    "
1,384.88699955475,2310.5125997282,"吳 淑 貞"
1,443.23380006305,2327.9733992299,58
1,443.23380006305,2358.4899992329,
1,443.23380006305,2390.7222002361,10
1,443.23380006305,2421.2388002391,
1,443.23380006305,2453.4703997423,10
1,443.23380006305,2483.9863997453,
1,498.26899957088,2407.8367997378,
1,554.49859957888,2311.7688002283,"     "
1,125.48179951785,2886.8577992851,1
1,125.48179951785,3129.6066003091,2
1,125.48179951785,3372.355399833,3
1,125.48179951785,3615.104199357,4
1,606.40660058626,3590.3697993546,
1,381.48540005427,3513.964800347,"張 文 金"
1,439.83220056257,3531.4255998487,55
1,439.83220056257,3561.9421998518,
1,439.83220056257,3594.1743993549,12
1,439.83220056257,3624.690999358,
1,439.83220056257,3656.9226003611,07
1,439.83220056257,3687.4386003642,
1,494.86740007039,3611.2890003566,
1,551.09700007839,3515.2212003471,"     "
1,381.48540005427,3278.2191993237,"張 文 欽"
1,439.83220056257,3295.6800003255,49
1,439.83220056257,3326.1966003285,
1,439.83220056257,3358.4281998317,01
1,439.83220056257,3388.9441998347,
1,439.83220056257,3421.1757993379,03
1,439.83220056257,3451.6917993409,
1,494.86740007039,3375.5433993334,
1,551.09700007839,3279.4755993239,"     "
1,606.40660058626,3356.3539998315,
1,381.48540005427,3032.6340002995,"林 新 益"
1,439.83220056257,3050.0947998012,49
1,439.83220056257,3080.6113998042,
1,439.83220056257,3112.8429993074,01
1,439.83220056257,3143.3589993104,
1,439.83220056257,3175.5906003136,14
1,439.83220056257,3206.1066003166,
1,494.86740007039,3129.9582003091,
1,551.09700007839,3033.8904002996,"     "
1,381.48540005427,2783.1381992749,"池 長 銳"
1,439.83220056257,2802.1563992767,51
1,439.83220056257,2832.6723992797,
1,439.83220056257,2864.9046002829,12
1,439.83220056257,2895.4206002859,
1,439.83220056257,2927.6527997891,06
1,439.83220056257,2958.1693997921,
1,494.86740007039,2882.0196002846,
1,551.09700007839,2785.9518002751,"     "
1,606.40660058626,2862.8301992827,
1,381.48540005427,3927.3133998878,"林 瑞 芳"
1,439.83220056257,3944.7741993896,44
1,439.83220056257,3975.2907993926,
1,439.83220056257,4007.5230003958,11
1,439.83220056257,4038.0396003988,
1,439.83220056257,4070.271199902,24
1,439.83220056257,4100.787199905,
