"page #",x,y,text
1,75.000000018284,2741.1094005,"本公報單面印製一大張。 ※選舉投票有關規定，請參閱縣議員或里長選舉公報。"
1,91.892599522402,8.1210000000001,臺灣省雲林縣斗六市第屆市長選舉選舉公報
1,1429.5508008485,102.4228005,雲林縣選舉委員會編印
1,106.2402000259,183.7294005,臺灣省雲林縣斗六市第屆市長選舉，經定於中華民國年月日星期六上午時起至下午時止舉行投
1,106.2402000259,227.7294,票。茲依公職人員選舉罷免法第四十七條規定，將候選人所填之政見及個人資料刊登如下，候選人個人資料
1,106.2402000259,271.7293995,係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,91.892599522402,344.3536005,"號次 姓名 出生地 學歷 經歷 政見"
1,652.10440065897,344.3536005,性別
1,194.69719954746,344.3536005,相片
1,565.87519963795,327.3535995,出生
1,549.28320013391,361.3536,年月日
1,825.22720070118,327.3535995,推薦之
1,841.81920020522,361.3536,政黨
1,91.892599522402,785.3614005,1
1,91.892599522402,1543.2054,2
1,582.04879964189,1440.7069995,
1,582.04879964189,1476.7069995,年
1,591.04879964409,1512.7069995,
1,582.04879964189,1548.7069995,月
1,582.04879964189,1584.7069995,
1,582.04879964189,1620.7069995,日
1,664.28220016194,1531.3096005,女
1,854.73820070837,1459.2996,中
1,854.73820070837,1495.2856005,國
1,854.73820070837,1531.2715995,國
1,854.73820070837,1567.2576,民
1,854.73820070837,1603.2436005,黨
1,936.10440022821,1481.5897995,東吳大學外文
1,964.10440073503,1511.5777995,系
1,936.10440022821,1541.5657995,美國威斯康辛
1,964.10440073503,1571.5537995,大學教育碩士
1,1166.1244007843,1317.5098005,雲林縣斗六市市長（第九
1,1194.1243997911,1347.4978005,屆）
1,1166.1244007843,1377.4858005,雲林縣農會總幹事
1,1166.1244007843,1407.4738005,雲林縣議會議員（第十六
1,1194.1243997911,1437.4618005,屆）
1,1166.1244007843,1467.4498005,雲林縣古坑鄉鄉長（第十
1,1194.1243997911,1497.4378005,三、十四屆）
1,1166.1244007843,1527.4258005,國立虎尾科技大學兼任英
1,1194.1243997911,1557.4138005,文講師
1,1166.1244007843,1587.4018005,雲林縣青溪婦聯會主任委
1,1194.1243997911,1617.3898005,員
1,1166.1244007843,1647.3778005,雲林縣十大傑出女青年（
1,1194.1243997911,1677.3658005,第一屆政治類）
1,1166.1244007843,1707.3538005,雲嘉傑出經理獎（第七屆
1,1194.1243997911,1737.3418005,）
1,1521.2422008709,1172.6680005,建構斗六為「生產、生活、生態、生命」之宜居
1,1549.2442008777,1199.058,城市。
1,1521.2422008709,1225.4479995,結合南投、雲林、嘉義環形城市，斗六市定位為
1,1549.2442008777,1251.8380005,雲林行政中心與環形城市新都心，發展綠色觀光
1,1549.2442008777,1278.228,交通設施。
1,1521.2422008709,1304.6179995,積極爭取改善易淹水地區區域排水整治，規劃水
1,1549.2442008777,1331.0080005,岸休憩空間。
