"page #",x,y,text
1,566.868400,2891.936133,遵守選舉法令，宏揚法治精神
1,493.319600,55.184267,檢舉賄選要勇敢，政治清明有期盼
1,96.809600,2773.740933,高雄市第２屆三民區博愛里里長選舉選舉公報
1,1649.066267,2789.782533,高雄市選舉委員會編印
1,96.809600,2687.098800,高雄市第2屆三民區博愛里里長選舉，經定於中華民國一百零三年十一月二十九日(星期六)上午八時起至
1,96.809600,2637.498800,下午四時止舉行投票。茲依公職人員選舉罷免法第四十七條規定，將候選人所填之政見及個人資料刊登
1,96.809600,2587.898800,如下，候選人個人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,111.487867,2533.458133,號
1,111.487867,2508.071467,次
1,236.449867,2520.764800,"相    片"
1,418.541200,2533.458133,姓
1,418.541200,2508.071467,名
1,464.354133,2546.151467,出生
1,464.354133,2520.764800,年月
1,475.234133,2495.378133,日
1,531.927067,2533.458133,性
1,531.927067,2508.071467,別
1,588.620000,2546.151467,出
1,588.620000,2520.764800,生
1,588.620000,2495.378133,地
1,634.432933,2546.151467,推薦
1,645.312933,2520.764800,之
1,634.432933,2495.378133,政黨
1,773.302800,2520.764800,"學    歷  經    歷 政           見"
1,104.215200,2334.740267,1
1,470.114267,2435.151200,46
1,470.114267,2400.484533,年
1,470.114267,2365.817867,12
1,470.114267,2331.151200,月
1,470.114267,2296.484533,20
1,470.114267,2261.817867,日
1,526.807200,2348.484533,"女 無"
1,687.185067,2352.494933,光華高級商業職業學校畢業。
1,951.752000,2436.494933,1.高雄市同心慈善會第三、四屆理事，第五
1,970.649600,2412.494933,至十二屆常務理事
1,951.752000,2388.494933,2.高雄市博愛里朝元宮委員
1,951.752000,2364.494933,3.三民一分隊女義警
1,951.752000,2340.494933,4.高雄市社區規劃師
1,951.752000,2316.494933,5.高雄市95、102年特優里長
1,951.752000,2292.494933,6.博愛里第六、七屆里長
1,951.752000,2268.494933,7.國家發展研究院結業。
1,1329.704800,2412.494933,1.宣導政令，爭取維護里民權益。
1,1329.704800,2388.494933,2.貼心服務，照顧弱勢里民，關懷老人長輩。
1,1329.704800,2364.494933,3.加強警民合作，強化治安，創建博愛家園。
1,1329.704800,2340.494933,4.加強環保，綠美環境，確保里民健康。
1,1329.704800,2316.494933,5.舉辦自強活動，敬老餐會，聯誼情感交融。
1,1329.704800,2292.494933,6.籌設本里活動中心，匯聚同心園。
1,1311.962133,211.172800,"投  ( 開 )  票  所  一  覽  表"
1,1047.703333,172.702533,"編號 設置地點 詳細地址 所轄村(里)鄰名稱 電   話 備     註"
1,1047.703333,135.138267,1034
1,1091.503200,145.804933,原工務局工程材料試驗科
1,1091.503200,124.471600,舊址(民族陸橋下)
1,1283.836533,145.804933,民族一路8之21號
1,1283.836533,124.471600,對面
1,1428.169867,135.138267,"博愛里全里  3119026"
1,1753.836533,145.804933,(1)
1,1753.836533,124.471600,原住民
1,104.215200,2180.141467,選舉投票有關規定包括下列內容：
1,104.215200,2154.866000,(一)投票時間：民國一百零三年十一月二十九日(星期六)上午八時起至下午四時止。
1,104.215200,2131.132800,(二)選舉人資格：
1,143.017333,2107.399467,"1. 中華民國國民年滿二十歲，即民國八十三年十一月二十九日(包括當日)以前出生，除受監護宣告尚未撤銷者外"
1,161.914933,2083.666000,，在各該選舉區內繼續居住四個月以上，即民國一百零三年七月二十九日(包括當日)以前遷入設有戶籍，至民
1,161.914933,2059.932667,國一百零三年十一月二十八日繼續居住者，有直轄市長、直轄市議員、原住民區長、原住民區民代表、里長選
1,161.914933,2036.199200,舉投票權。【上項居住期間，在行政區域劃分選舉區者，仍以行政區域為範圍計算之。但於選舉公告發布(一百
1,161.914933,2012.465867,零三年八月二十一日含當日)後，遷入各該選舉區者，無選舉投票權。】
1,143.017333,1988.732400,"2. 原住民選出之直轄市議員，其選舉人須符合前款規定，並分別具有「平地原住民」或「山地原住民」身分者為限。"
1,104.215200,1964.999200,(三)選舉人投票應注意事項：
1,143.017333,1941.265733,"1. 投開票地點(見投開票所一覽表)。"
1,143.017333,1917.532533,"2. 投票時攜帶本人國民身分證、印章及投票通知單；未攜帶投票通知單者，務請記住投票通知單上之號碼，於領票時"
1,161.914933,1893.799200,告知發票管理員。
1,143.017333,1870.065733,"3. 選舉人應於規定之投票時間內到場投票，逾時不許入場，但已於規定時間內到場，尚未投票者仍可投票。選舉人應"
1,161.914933,1846.332533,一次進入投票所投票，離開投票所後，不得再次進入投票所投票。
1,143.017333,1822.599067,"4. 選舉人或其陪同家屬不得攜帶手機及其他攝影器材進入投票所，違反者依公職人員選舉罷免法第一百零六條第一項"
1,161.914933,1798.865867,規定，處新臺幣三萬元以上三十萬元以下罰鍰。
1,143.017333,1775.132533,"5. 任何人不得於投票所以攝影器材刺探選舉人圈選選舉票內容。違反者依公職人員選舉罷免法第一百零六條第二項規"
1,161.914933,1751.399067,定，處五年以下有期徒刑，併科新臺幣五十萬元以下罰金，查獲之攝影器材沒收之。
1,143.017333,1727.665867,"6. 選舉人圈選後，不得將圈選內容出示他人，違者依公職人員選舉罷免法第一百零五條規定，處二年以下有期徒刑、"
1,161.914933,1703.932400,拘役或科新臺幣二十萬元以下罰金。
1,143.017333,1680.199200,"7. 在投票所或開票所有下列情事之一者，經投票所主任管理員會同主任監察員令其退出，而不退出者，依公職人員選"
1,161.914933,1656.465867,舉罷免法第一百零五條之規定，處二年以下有期徒刑、拘役或科新臺幣二十萬元以下罰金：
1,154.355867,1632.732400,（1）在場喧嚷或干擾勸誘他人投票或不投票，不服制止。
1,154.355867,1608.999200,（2）攜帶武器或危險物品入場。
1,154.355867,1585.265733,（3）有其他不正當行為，不服制止。
1,143.017333,1561.532533,"8. 選舉人領得選舉票後，應立即使用選舉機關製備之圈選工具，自行圈選，並將選舉票摺疊投入票匭，不得逗留；如"
1,161.914933,1537.799200,將選舉票攜出投票所者，依公職人員選舉罷免法第一百零八條第一項規定，處一年以下有期徒刑、拘役或科新臺
