"page #",x,y,text
1,91.892599522402,6.1219995000001,臺灣省雲林縣林內鄉烏塗村第屆村長選舉選舉公報
1,102.24019952492,181.7293995,臺灣省雲林縣林內鄉烏塗村第屆村長選舉，經定於中華民國年月日星期六上午時起至下午時止
1,102.24019952492,225.7294005,舉行投票。茲依公職人員選舉罷免法第四十七條規定，將候選人所填之政見及個人資料刊登如下，候選人個
1,102.24019952492,269.7294,人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,400.57120059765,342.3535995,"姓名 出生地 學歷 經歷 政見"
1,652.10440065897,342.3535995,性別
1,194.69719954746,342.3535995,相片
1,565.87519963795,325.3536,出生
1,549.28320013391,359.3536005,年月日
1,825.22720070118,325.3536,推薦之
1,841.81920020522,359.3536005,政黨
1,582.04879964189,471.6132,
1,582.04879964189,507.6132,年
1,582.04879964189,543.6132,
1,582.04879964189,579.6132,月
1,582.04879964189,615.6132,
1,582.04879964189,651.6132,日
1,664.28220016194,562.2157995,男
1,854.73820070837,564.2298,無
1,936.10440022821,515.4882,民生國小、淵明
1,936.10440022821,545.4762,國中、中洲工業
1,936.10440022821,575.4642,專科學校：機械
1,936.10440022821,605.4522,工程科。
1,1519.2421998704,399.5878005,一、執行農村再生計畫「濁水註腳、墨展生機、芋見幸福、烏塗
1,1561.2421998806,418.1938005,是金」建設烏塗社區的藍圖。
1,1519.2421998704,436.7998005,二、經濟面：推動農村產業體驗休閒旅遊相關活動，增加農村收
1,1561.2421998806,455.4058005,益，提供居民就業機會。
1,1519.2421998704,474.0118005,三、社會面：確立烏塗社區發展願景，凝聚居民力量及共識，達
1,1561.2421998806,492.6178005,成烏塗是金的願景，實現健康、特色、美麗、祥和富麗新農
1,1561.2421998806,511.2238005,村。
1,1519.2421998704,529.8298005,四、環境面：推廣自然生態環境及維護，推展無毒安全農業，將
1,1561.2421998806,548.4358005,社區土壤及水源維護到永續，社區整體環境建構成陽光、環
1,1561.2421998806,567.0418005,保、有機、整潔生活環境。
1,1519.2421998704,585.6478005,五、文化面：辦理村內各部落寺廟，傳統節慶之廟口文化活動、
1,1561.2421998806,604.2538005,各建廟及神明歷史淵源神蹟調查，編輯成冊流傳子孫。
1,1519.2421998704,622.8598005,六、規劃濁水發電廠百年古蹟週邊環境為休閒健康步道及自行車
1,1561.2421998806,641.4658005,步道，閒置空間設螢火蟲復育及籠仔笱公園，成為生態古蹟
1,1561.2421998806,660.0718005,新景點。
1,1519.2421998704,678.6778005,七、設立老人關懷據點，辦理多樣化健康技藝研習及旅遊活動激
1,1561.2421998806,697.2838005,發老人對健康重視，營造健康快樂的社區。
1,1519.2421998704,715.8898005,八、籌組烏塗芋頭產銷班，提升品質，建立品牌，開發行通路。
1,582.04879964189,820.5937995,
1,582.04879964189,856.5937995,年
1,591.04879964409,892.5937995,
1,582.04879964189,928.5937995,月
1,591.04879964409,964.5937995,
1,582.04879964189,1000.5937995,日
1,664.28220016194,911.1961995,男
1,854.73820070837,913.2102,無
1,936.10440022821,862.9414005,烏塗民生國小。
1,936.10440022821,894.9454005,林內淵明國中。
1,936.10440022821,926.9494005,彰化私立達德商
1,936.10440022821,958.9534005,工。
1,1166.1210002843,405.7686,現任：
1,1166.1210002843,433.7706,烏塗村辦公處村長
1,1166.1210002843,461.7726,烏塗社區發展協會總幹事
1,1166.1210002843,489.7746,林內鄉體育會理事長
1,1166.1210002843,517.7766,林內鄉調解委員會委員
1,1166.1210002843,545.7786,雲林縣觀光休閒農業協會總
1,1194.1230002911,573.7806,幹事
1,1166.1210002843,601.7826,台灣更生保護會輔導員
1,1166.1210002843,629.7846,九天宮管理委員會總幹事
1,1166.1210002843,657.7866,雲林縣農業志工大隊副隊長
1,1166.1210002843,685.7886,林內國中家長委員會顧問
1,1166.1210002843,713.7906,民生國小家長委員會顧問
1,1519.2421998704,795.9444,堅決反對焚化爐運轉，讓村民生命、財產免予受到威脅，讓村民
1,1519.2421998704,823.9374,有一個美好的生活環境，而土地也免予受到焚化爐的汙染讓村民
1,1519.2421998704,851.9304,的生命財產受到保障。
1,1519.2421998704,879.9234,勤志基層，努力用心，用行動為村民爭取能改善生活環境的村裡
1,1519.2421998704,907.9164,建設，用心傾聽村民的心聲與需求，用行動來完成村民的依託。
