"page #",x,y,text
1,61.261733,1873.918667,臺灣省雲林縣林內鄉重興村第屆村長選舉選舉公報
1,68.160133,1756.847067,臺灣省雲林縣林內鄉重興村第屆村長選舉，經定於中華民國年月日星期六上午時起至下午時止
1,68.160133,1727.513733,舉行投票。茲依公職人員選舉罷免法第四十七條規定，將候選人所填之政見及個人資料刊登如下，候選人個
1,68.160133,1698.180400,人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,267.047467,1649.764267,"姓名 出生地 學歷 經歷 政見"
1,434.736267,1649.764267,性別
1,129.798133,1649.764267,相片
1,377.250133,1661.097600,出生
1,366.188800,1638.430933,年月日
1,550.151467,1661.097600,推薦之
1,561.212800,1638.430933,政黨
1,388.032533,1563.591200,
1,388.032533,1539.591200,年
1,388.032533,1515.591200,
1,388.032533,1491.591200,月
1,394.032533,1467.591200,
1,388.032533,1443.591200,日
1,442.854800,1503.189467,男
1,569.825467,1501.846800,無
1,624.069600,1504.800800,省立斗六初中
1,1012.821600,1557.870133,一、落實環境綠美化，打造綠色家園。
1,1012.821600,1536.534133,二、持續社區巡守，增設監視系統，維護平安村
1,1050.154933,1515.198133,里。
1,1012.821600,1493.862133,三、積極爭取建設，達到均衡發展。
1,1012.821600,1472.526133,四、改善社區排水系統，增加農民收益。
1,1012.821600,1451.190133,五、加強為民服務，謀取村民最大福祉。
1,388.032533,1330.937467,
1,388.032533,1306.937467,年
1,394.032533,1282.937467,
1,388.032533,1258.937467,月
1,394.032533,1234.937467,
1,388.032533,1210.937467,日
1,442.854800,1270.535867,女
1,569.825467,1269.193200,無
1,624.069600,1292.039067,一、重興國小。
1,624.069600,1270.703067,二、淵明國中。
1,624.069600,1249.367067,三、開明商工。
1,777.416267,1356.271067,一、反林內焚化爐自救會成
1,814.749600,1334.935067,員。
1,777.416267,1313.599067,二、林內民防隊顧問。
1,777.416267,1292.263067,三、台中龍井區犁份民防分
1,814.749600,1270.927067,隊顧問。
1,777.416267,1249.591067,四、台中龍井區犁份分駐所
1,814.749600,1228.255067,警友站副站長。
