"page #",x,y,text
1,211.74259953299,346.5118005,桃園市中壢區第1屆里長選舉選舉公報
1,211.74259953299,505.9248,桃園市中壢區第1屆里長選舉，經定於中華民國一百零三年十一月二十九日(星期六)上午八時起至下午四時止舉行投票。茲依公職人員選舉罷免法第
1,211.74259953299,555.9048,四十七條規定，將候選人所填之政見及個人資料刊登如下，候選人個人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。　　　
1,2904.7333999526,558.5107995,(第一版)
1,2520.7236003928,425.9671995,桃園市選舉委員會　編印
1,363.16660055659,635.0011995,"相片 姓　名"
1,761.23399961861,634.9951995,出生地
1,840.59719963097,618.1951995,推薦之
1,840.59719963097,651.7951995,政　黨
1,942.58200014687,634.9951995,"學歷 經歷 政　　　　　　　　見"
1,265.55940004138,851.8494,1
1,491.38620007656,856.9338,陳中央
1,688.61940010729,807.4638,52
1,688.61940010729,833.4637995,10
1,688.61940010729,859.4638005,13
1,728.36040011349,839.9638005,男
1,775.34239962081,831.9688005,臺灣省
1,775.34239962081,847.9717995,桃園縣
1,867.7074001352,839.9767995,無
1,925.23240014416,823.9738005,普仁國小畢業
1,925.23240014416,839.9767995,中壢國中畢業
1,925.23240014416,855.9798,新興高中畢業。
1,1038.6184006618,703.9837995,南亞工專肄業
1,1038.6184006618,719.9868,憲兵忠貞310梯次退。
1,1038.6184006618,735.9898005,桃園客運站務員，摩托
1,1038.6184006618,751.9927995,羅拉警衛長，社區讀書
1,1038.6184006618,767.9958,會領導人，金嗓歌友會
1,1038.6184006618,783.9988005,創辦人，陳姓宗親會常
1,1038.6184006618,800.0017995,務監事，荷松協會顧
1,1038.6184006618,816.0048,問。
1,1038.6184006618,832.0078005,現任：
1,1038.6184006618,848.0107995,華勛國小前家長會長
1,1038.6184006618,864.0138,福德宮管委會顧問
1,1038.6184006618,880.0168005,中壢市仁海宮董事
1,1038.6184006618,896.0197995,仁愛里守望相助隊總幹
1,1038.6184006618,912.0228,事
1,1038.6184006618,928.0258005,陳振韶宗祠管理人代表
1,1038.6184006618,944.0287995,300-G2區華勛獅子會
1,1038.6184006618,960.0318,中壢市市民代表
1,1191.6934006857,712.0308,1.桃園縣升格直轄市後，里長直接面對桃園市長，須要有經驗、有
1,1205.8633996879,728.0338005,能力、關係良好者才能爭取得到經費。
1,1191.6934006857,744.0367995,2.新中北路至普忠路計畫道路開闢，請立委在立法院向營建署爭取
1,1205.8633996879,760.0398,經費2/3，再向桃園市政府爭取編列預算1/3。
1,1191.6934006857,776.0428005,3.路打通後，兒童5公園便可以興建，路通了，公園興建了，房價、
1,1205.8633996879,792.0457995,地價自然增值。
1,1191.6934006857,808.0488,4.年滿65歲里民，生日當天由里辦公室送盒蛋糕，以示祝賀。
1,1191.6934006857,824.0518005,5.每年農曆九九重陽節，招待年滿65歲里民一日遊。
1,1191.6934006857,840.0547995,6.小學、國中、高中學年成績優良，班上前三名者，以及考取國立
1,1205.8633996879,856.0578,大學者，於中秋環保之夜頒發獎學金以資鼓勵。
1,1191.6934006857,872.0608005,7.與廠商、公司行號簽訂協商，若有職缺優先告知本里，並透過廣
1,1205.8633996879,888.0637995,播告知里民，面談合適者本里里民優先錄用。
1,1191.6934006857,904.0668,8.本里三座土地公、福德宮、福美祠，營頭厝福德宮於每年農曆二
1,1205.8633996879,920.0698005,月初二日福德正神聖誕千秋時，舉行大會師儀式。
1,1191.6934006857,936.0727995,9.路平、燈亮、水溝通為基本生活要求。
1,1191.6934006857,952.0758,10.做里長視同擔任公僕，應以謙卑態度，以愛心，耐心，用心，並
1,1205.8633996879,968.0788005,親切面對里民才是。
1,265.55940004138,1185.7705995,2
1,491.38620007656,1190.8549995,林登基
1,688.61940010729,1141.3849995,52
1,688.61940010729,1167.3850005,08
1,688.61940010729,1193.385,02
1,728.36040011349,1173.885,男
1,775.34239962081,1165.89,臺灣省
1,775.34239962081,1181.8930005,宜蘭縣
1,867.7074001352,1173.8980005,"無 壯圍國中畢業"
1,1038.6184006618,1061.9029995,1..中壢市仁愛里現任里
1,1051.0855996638,1077.906,長。
1,1038.6184006618,1093.9090005,2.華勛消防隊顧問。
1,1038.6184006618,1109.9119995,3.華勛國小交通隊志
1,1051.0855996638,1125.915,工。
1,1038.6184006618,1141.9180005,4.仁愛里環保志工隊隊
1,1051.0855996638,1157.9209995,長。
1,1038.6184006618,1173.924,5.平鎮國際同濟會副會
1,1051.0855996638,1189.9270005,長。
1,1038.6184006618,1205.9299995,6.中壢市林姓宗親會顧
1,1051.0855996638,1221.933,問。
1,1038.6184006618,1237.9360005,7.仁愛華愛福德緣協進
1,1051.0855996638,1253.9389995,會常務理事。
1,1038.6184006618,1269.942,8.營頭厝福德宮管理委
1,1051.0855996638,1285.9450005,員會監察委員。
1,1191.6934006857,1165.9420005,照顧老人、關懷弱勢及婦幼、提升就業機會、爭取公園、活動中
1,1191.6934006857,1181.9449995,心、提升里內環境生活品質。
1,265.55940004138,1519.6918005,3
1,491.38620007656,1524.7764,鄧立敦
1,688.61940010729,1475.3064,56
1,688.61940010729,1501.3063995,10
1,688.61940010729,1527.3064005,31
1,728.36040011349,1507.8064005,男
1,775.34239962081,1499.8114005,臺灣省
1,775.34239962081,1515.8143995,桃園縣
1,867.7074001352,1507.8193995,無
1,925.23240014416,1475.8134,壹、國立楊梅高
1,951.23260064821,1491.8164005,中畢業。
1,925.23240014416,1507.8193995,貳、陸軍軍官學
1,951.23260064821,1523.8224,校專科班畢
1,951.23260064821,1539.8254005,業。
1,1038.6184006618,1451.8284,壹、國防大學軍事學院
1,1064.6185996659,1467.8314005,結業。
1,1038.6184006618,1483.8343995,貳、憲兵營營長。
1,1038.6184006618,1499.8374,參、華勛國小家長會第
1,1064.6185996659,1515.8404005,17、18、19、20屆
1,1064.6185996659,1531.8433995,副會長。
1,1038.6184006618,1547.8464,肆、現任功學社區管理
1,1064.6185996659,1563.8494005,委員會專員。
1,1191.6934006857,1427.8434,壹、優先儘速在短期內爭取公園設立，並全力配合推動計劃，完成
1,1217.6935996897,1443.8464005,定案與實施。
1,1191.6934006857,1459.8493995,貳、爭取新中北路981巷至永福路及榮民南路之道路改善，帶動本里
1,1217.6935996897,1475.8524,發展。
1,1191.6934006857,1491.8554005,參、推動仁愛功學兩社區間埤塘美化及步道設置，促進里內人文交
1,1217.6935996897,1507.8583995,流，提昇鄉親互助和諧。
1,1191.6934006857,1523.8614,肆、提倡協助成立社區發展協會。
1,1191.6934006857,1539.8644005,伍、爭取免費公車路線設立站點，便利鄉親。
1,1191.6934006857,1555.8673995,陸、加強里內不足地區之監視系統功能，確保居住安全。
1,1191.6934006857,1571.8704,柒、利用閒置空地，增設停車場，解決鄉親停車問題。
1,1191.6934006857,1587.8734005,捌、針對里內弱勢獨居老人，定時定期到府關懷。
1,265.55940004138,1853.613,1
1,491.38620007656,1858.6975995,陳秀菁
1,688.61940010729,1809.2275995,47
1,688.61940010729,1835.2276005,08
1,688.61940010729,1861.2276,13
1,728.36040011349,1841.7276,女
1,775.34239962081,1833.7326,臺灣省
1,775.34239962081,1849.7356005,南投縣
1,840.59719963097,1841.7406005,中國國民黨
1,925.23240014416,1825.7376,水里國小畢
1,925.23240014416,1841.7406005,水里國中畢
1,1038.6184006618,1737.7405995,明道中學肄業、實踐研
1,1038.6184006618,1753.7436,究院結業、平鎮社大第
1,1038.6184006618,1769.7466005,六期、中壢社大第一期
1,1038.6184006618,1785.7495995,結業。仁祥十一、十二
1,1038.6184006618,1801.7526,屆里長社團法人大雲合
1,1038.6184006618,1817.7556005,聖宮一、二、屆主委華
1,1038.6184006618,1833.7585995,勛市場管委會十二至
1,1038.6184006618,1849.7616,十八屆主委桃園市婦幼
1,1038.6184006618,1865.7646005,安全監督委員救國團真
1,1038.6184006618,1881.7675995,善美委員八二三戰役戰
1,1038.6184006618,1897.7706,友協會顧問中壢區仁愛
1,1038.6184006618,1913.7736005,警友站榮譽顧問縣新移
1,1038.6184006618,1929.7765995,民關懷協會華勛總召縣
1,1038.6184006618,1945.7796,國劇發展協會理事長。
1,1191.6934006857,1777.7806005,一、結合民代爭取仁祥公園地下停車場改善停車問題。
1,1191.6934006857,1793.7835995,二、爭取河濱步道旁長坡堤加蓋善加利用規劃。
1,1191.6934006857,1809.7866,三、加強里內建設做好水溝通馬路平路燈亮之服務。
1,1191.6934006857,1825.7896005,四、推動環境整潔落實每周六清潔日帶領志工打掃里內環境提昇住
1,1217.6935996897,1841.7925995,家品質。
1,1191.6934006857,1857.7956,五、推動社區活動辦理各項社區文化文康休閒帶動社區活力拉近彼
1,1217.6935996897,1873.7986005,此距離促進團結和諧。
1,1191.6934006857,1889.8015995,六、協助弱勢族群榮民榮眷低收入戶辦理各項生活補助。
1,1191.6934006857,1905.8046,七、全職里長全力以赴全里幸福共創仁慈祥和之里。
1,265.55940004138,2187.5341995,1
1,491.38620007656,2192.6185995,朱夢奇
1,688.61940010729,2143.1485995,44
1,688.61940010729,2169.1486005,01
1,688.61940010729,2195.1486,17
1,728.36040011349,2175.6486,"男 台北市 中國國民黨"
1,925.23240014416,2143.6426005,富台國小第一
1,925.23240014416,2159.6455995,屆畢業
1,925.23240014416,2175.6486,大崙初中畢業
1,925.23240014416,2191.6516005,健行工專機械
1,925.23240014416,2207.6545995,科畢業
1,1038.6184006618,2119.6576005,政戰官、預官第28期結
1,1038.6184006618,2135.6605995,業，新竹捐血中心會
1,1038.6184006618,2151.6636,員，景仁殘障中心會
1,1038.6184006618,2167.6666005,員，慈濟會員。中壢
1,1038.6184006618,2183.6695995,市華勛社區發展協會第
1,1038.6184006618,2199.6726,一、二屆理事長，中壢
1,1038.6184006618,2215.6756005,市華勛里第10、11、12
1,1038.6184006618,2231.6785995,屆里長。
1,1191.6934006857,2127.6786,1.華勛里終身志工，服務我華勛鄉親無怨無悔。
1,1191.6934006857,2143.6816005,2.積極爭取華安二路、道路打通徹底改善華勛街交通問題，103年6月
