"page #",x,y,text
1,262.0165995,446.18500043039,"屏東縣車城鄉第 17 屆鄉長暨第 20 屆鄉民代表、村長選舉，經定於"
1,646.2336,508.48139992067,"舉行投票。茲依公職人員選舉罷免法第 47 條規定，將候選人所填報之政見及個"
1,168.4548,565.69580091175,人資料刊登如下，候選人個人資料係依據候選人所填列資料刊登，如有不實，由候選人自行負責。
1,1542.0186,446.18440043039,"民國 103 年 11 月 29 日（星期六）"
1,168.4548,508.48079992067,"上午 8 時起至下午 4 時止"
1,2070.3328005,3104.0674000157,（接續後版面）
1,165.9004005,259.28159995955,屏東縣車城鄉第十七屆鄉長暨第二十屆鄉民代表、村長選舉選舉公報
1,1700.5726005,340.73459994684,屏東縣選舉委員會　編印
1,179.4523995,338.08580094726,（第一選區）
1,174.0478005,647.47559989899,壹、車城鄉鄉長選舉候選人
1,1660.3381995,717.59680038805,"政 見"
1,250.4449995,717.72880038803,"號 次"
1,358.0288005,717.56039988806,"相 片●●●"
1,165.9004005,717.56219988806,選舉區
1,514.9594005,717.76340088802,"姓 名●"
1,608.1648,674.57080039476,出生年月日
1,766.4887995,674.57020039476,推薦之政黨
1,872.7142005,717.56219988806,"學 歷"
1,1132.3054005,717.62399988805,"經 歷"
1,176.4679995,850.45139986732,"全 鄉●●●●●●●●●●●●●●●●●●"
1,1660.3381995,1979.6122001912,"政 見"
1,250.4449995,1979.7442001911,"號 次"
1,358.0288005,1979.5757996912,"相 片●●●"
1,165.9004005,1979.5775996912,選舉區
1,514.9594005,1979.7788006911,"姓 名●"
1,608.1648,1936.5862001979,出生年月日
1,766.4887995,1936.5856001979,推薦之政黨
1,872.7142005,1979.5775996912,"學 歷"
1,1132.3054005,1979.6393996912,"經 歷"
1,258.5332005,2229.5560001522,1
1,254.5812,2612.2258000925,2
1,179.4523995,2114.8118006701,"第 一 選 舉 區"
1,174.0478005,1909.7630007021,貳、車城鄉鄉民代表選舉候選人
1,258.5332005,960.45440085016,1
1,258.5332005,1328.9504007927,2
1,258.5332005,1697.4578007352,3
1,523.6396005,1573.4567997545,"林 錫 章"
1,651.8166,1685.2364007371,男
1,710.6047995,1629.3554007458,高雄市
1,763.2907995,1596.4684002509,民主進步黨
1,598.1605995,1602.60539975,39
1,598.1605995,1635.6064002448,年
1,605.6605995,1668.6068007397,5
1,598.1605995,1701.6077997345,月
1,598.1605995,1734.6088002294,18
1,598.1605995,1767.6098007242,日
1,1038.3154005,1640.5636002441,車城鄉第16屆鄉民代表會主席
1,1038.3154005,1667.5630002398,車城獅子會會長
1,1038.3154005,1694.5624002356,車城鄉發展促進協會理事長
1,1038.3154005,1721.5618002314,"現任：車城鄉第 16屆鄉長"
1,810.2806005,1667.1893997399,環球科技大學企業管理學
1,810.2806005,1695.9893997354,士
1,1329.9976005,1623.7474002467,1.沿海景觀道路全面完工後，規劃沿海觀光遊憩產業計劃，以增進地方觀光事業發展，創造就業機會。
1,1329.9976005,1652.5468002422,2.重建行政大樓改善優質的辦公環境提昇服務品質，為鄉民做更親善的服務。
1,1329.9976005,1681.3462002377,3.爭取經費改善車城鄉內排水系統，讓居民免受淹水之苦財產損失。
1,1329.9976005,1710.1456002332,4.配合縣政府爭取劃分「四重溪溫泉區」，有效利用溫泉資源，兼顧溫泉之永續經營、促進觀光及輔助復健養
1,1349.8417995,1738.9450002287,生事業發展。
1,523.6396005,1205.9465998119,"張 春 桂"
1,651.8166,1317.7229997944,女
1,710.6047995,1212.4250008109,臺灣省屏東縣
1,763.2907995,1294.852000298,無
1,598.1605995,1235.0920003073,55
1,598.1605995,1268.0924008022,年
1,598.1605995,1301.092799797,11
1,598.1605995,1334.0932002919,月
1,598.1605995,1367.0936007867,20
1,598.1605995,1400.0939997816,日
1,1329.9976005,1227.9434008084,一、積極爭取地方基礎建設。
1,1329.9976005,1256.7434008039,二、專案規劃沿海景觀道路觀光建設，推動城鄉觀光發展。
1,1329.9976005,1285.5434007994,三、提倡全鄉觀光資源多元化整合，活絡地方觀光經濟發展。
1,1329.9976005,1314.343400795,四、推動民俗文化及資產保存。
1,1329.9976005,1343.1434007905,五、爭取民生福利。
1,1329.9976005,1371.943400786,六、爭取農、漁民福利。
1,1329.9976005,1400.7434007815,七、照顧弱勢鄉民、爭取福利。
1,1038.3154005,1273.5926008013,車城鄉公所財政課代理課員。
1,1038.3154005,1300.5926007971,車城鄉公所社會課全民健保約雇人
1,1038.3154005,1327.5926007929,員。
1,1038.3154005,1354.5926007887,現任：車城鄉婦女會理事長。
1,810.2806005,1314.6461997949,綜合高商畢業。
1,523.6396005,837.44660086935,"林 顯 水"
1,651.8166,949.21960035192,男
1,710.6047995,843.92500036834,台灣省屏東縣
1,763.2907995,860.45840086576,中國國民黨
1,598.1605995,866.58860086481,48
1,598.1605995,899.58899985966,年
1,605.6605995,932.58880035451,5
1,598.1605995,965.58920084936,月
1,598.1605995,998.58959984421,24
1,598.1605995,1031.5900003391,日
1,1038.3154005,877.79039986306,車城鄉、恆春鎮民眾服務社主任。
1,1038.3154005,904.79039985885,義消第四大隊副大隊長。恆春警友
