"page #",x,y,text
1,117.6385995,-127.2940005,"選賢與能　踴躍投票   慎重圈選"
1,286.164,91.1298,新北市議會第2屆議員選舉第10選舉區選舉公報
1,2270.5528005,171.1240005,新北市選舉委員會　編印　
1,220.1246175,327.0863115,新北市議會第2屆議員選舉，經定於民國
1,1283.5282005,327.0634005,103
1,1389.9343995,327.0634005,年11月29日（星期六）上午8時起至下午4時止舉行投票。茲
1,101.816664,395.103447,依公職人員選舉罷免法第47條規定，將候選人所填報之政見及個人資料刊登如下，候選人個人資料係依據候選
1,101.816664,463.1434935,人所填列資料刊登，如有不實，由候選人自行負責。
1,90.7068,619.3438005,第10選舉區（金山區、萬里區、汐止區）候選人
1,77.0194005,727.8096,"號 次 相 片 姓 名"
1,516.2616,715.2364005,出　生
1,516.2616,732.2457135,年月日
1,613.2352005,727.8096,"性 別 出 生 地 推薦之政黨 學　歷 經　歷 政　見"
1,87.5448,3760.5175995,6
1,87.5448,3224.6273955,5
1,87.5448,2679.2411205,4
1,87.5448,2151.500529,3
1,87.5448,1587.192978,2
1,87.5448,1055.696478,1
1,2288.0214,4094.4882,性別平等　神聖一票　絕不放棄
1,2631.2656005,1401.3516,
1,2436.3829995,1912.156611,
1,540.0691995,977.253,57
1,542.481477,1005.597252,年
1,540.0691995,1033.9415055,06
1,542.481477,1062.2857575,月
1,540.0691995,1090.6300095,25
1,542.481477,1118.9742615,日
1,633.17784,1048.1267415,"女 新北市 民主進步黨"
1,1692.3046005,960.0538005,身為地方民代多年，雅玲向以溝通玲距離，問政玲瑕疵自我期許！人民頭家的支持和肯定，就是雅玲服務團隊的最大動力！台北縣在大家殷殷期盼下雖然升格新北市
1,1692.3046005,981.3137205,，但行政效率、服務品質卻未增反減，令人大失所望！強力監督無效率、無作為的新北市政府自是雅玲未來肩負之重責大任：
1,1692.3046005,1002.5736405,１、要求魄力規劃汐止捷運確切路線及完成時程。
1,1692.3046005,1023.8335605,２、監督政府規劃輔導金萬文創觀光產業發展。
1,1692.3046005,1045.0934805,３、要求核一、核二除役，核四停建。
1,1692.3046005,1066.3534005,４、監促政府廣設公園綠地，提供市民優良休閒場所。
1,1692.3046005,1087.6133205,５、杜絕教育升學亂象，監督市府修正，完善考試分發制度及配套措施。
1,1692.3046005,1108.8732405,６、地下管線全面徹底安全檢測。
1,1692.3046005,1130.1331605,任重而道遠，需要做的很多，想要做的更多！唯有邀請所有人民頭家與玲同行，一起為打造美好家園而努力！
1,374.1756,2130.6718005,黃瑞傳
1,540.0691995,2057.8066005,39
1,542.481477,2086.1508525,年
1,540.0691995,2114.4951045,04
1,542.481477,2142.8393565,月
1,540.0691995,2171.18361,07
1,542.481477,2199.527862,日
1,633.17784,2128.6541205,"男 臺灣省花蓮縣 無"
1,1692.3046005,1917.6504,一、對老榮民落實關懷照顧。
1,1692.3046005,1943.658369,二、加強照顧弱勢給予照顧經費補助團體機構。
1,1692.3046005,1969.666338,三、建立公立老人安養中心照料銀髮族。
1,1692.3046005,1995.674307,四、捍衛軍公教者尊嚴與權益。
1,1692.3046005,2021.6822745,五、落實建設社
1,1816.8534,2021.6503995,區公園綠化及美化。
1,1692.3046005,2047.6583685,六、強力推動設立公共托育中心區域每三、五個里有一所。
1,1692.3046005,2073.6663375,七、強化大汐止經貿園區推動落實在地青年就業。
1,1692.3046005,2099.6743065,八、督促東湖至汐止捷運線早日通車。
1,1692.3046005,2125.6822755,九、推動社
1,1781.2420005,2125.6504005,后地區至南港跨河大橋促使交通更便利。
1,1692.3046005,2151.6583695,十、早日完成康寧街南上中山高匝道舒解交通。
1,1692.3046005,2177.666337,十一、汐止建立一所大型藝文活動中心，提昇文化藝術水平。
1,1692.3046005,2203.674306,十二、協助五堵與老舊社
1,1888.074,2203.6504005,區推動都更，讓老舊社區煥然一新、美化市政建設。
1,1692.3046005,2229.6583695,十三、改善金山、萬里漁港衛生環境及建設為富麗漁村。
1,1692.3046005,2255.666337,十四、推動國外萬里蟹黃金品牌美食、增加國際觀光產值。
1,1692.3046005,2281.674306,十五、繼續舉辦「萬、金、石國際馬拉松」世界級金質認證，成為世界國際馬拉松大事。
1,1692.3046005,2307.682275,十六、金山萬里增建公共親子健康運動中心。
1,1692.3046005,2333.690244,十七、鼓勵年青人結婚生子安家免息貸200萬元20年還、舒解人口斷層國安問題。
1,1348.177968,2050.295511,汐止區民眾服務社
1,1494.1267995,2050.2636,20.21屆理事長、國民
1,1348.177968,2071.52352,黨汐止紅太陽志工協會現任第一屆理事長
1,1348.177968,2092.78344,、中國國民黨19全黨代表、19全後補中
1,1348.177968,2114.04336,央委員、汐止區黃氏宗親會第五屆理事長
1,1348.177968,2135.30328,、三軍院校校友聯誼會汐金萬會長、新北
1,1348.177968,2156.5632,市榮民榮眷關懷協會現任常務監事、美國
1,1348.177968,2177.82312,紐波頓大學企業系肄業、北京大學企業系
1,1348.177968,2199.08304,ＥＭＢＡ總裁班結業
1,1063.7020035,2123.769774,陸軍第一士校常七期高中部畢業
1,1063.7020035,1035.0492705,汐止國小、秀峰國中、育達商職、
1,1063.7020035,1056.3091905,中華技術學院二專部。
1,1348.177968,1001.3700135,臺北縣黨部婦展會委員、民進黨臺北縣議
1,1348.177968,1022.6299335,會黨團副總召、第十五屆、第十六屆臺北
1,1348.177968,1043.8898535,縣議員、民進黨新北市議會黨團副總召、
1,1348.177968,1065.1497735,現任新北市核能安全監督委員、現任第一
1,1348.177968,1086.4096935,屆新北市議員。
1,1063.7020035,2672.6300415,東山國小、明德國中、方曙高工。
1,374.1756,2677.6416,廖正良
1,540.0691995,2604.7801995,43
1,542.481477,2633.124453,年
1,540.0691995,2661.468705,12
1,542.481477,2689.812957,月
1,540.0691995,2718.157209,25
1,542.481477,2746.5014625,日
1,633.17784,2675.653941,"男 新北市 中國國民黨"
1,1692.3046005,2576.9521995,一、配合朱市長推動各項建設與福利，並嚴格監督路平、燈亮、水溝通等基本民生需求。
1,1692.3046005,2598.2121195,二、與李慶華立法委員密切合作，地方與中央共同推動各項重大工程與爭取福
1,2294.67,2598.2119995,利、補助。
1,1692.3046005,2619.4719195,三、汐止捷運：今年底先期動工，動工後全力監督後續工程，力求盡早通車。
1,1692.3046005,2640.7318395,四、民意為依歸：時時在基層聽取聲音，體察民情，作為監督政府施政的指標。
1,1692.3046005,2661.9917595,五、終身養成制度：督促政府以幼有所長、壯有所用、老有所終的目標，結合福
1,2312.3868,2661.9922005,利、教育、就業制度。
1,1692.3046005,2683.2521205,六、完善交通網：不僅推動選區建設，更應擴及周邊地區，建立宏觀的交通網絡，使人暢其行、貨暢其流，作為區域發展的基礎。
1,1692.3046005,2704.5120405,七、強化休閒與運動建設：推動大型而平民化的室內運動場，落實國民健康生活及休閒。
1,1692.3046005,2725.7719605,八、強化偏鄉教育資源：督促政府加編偏遠地區教育預算，如金山、萬里及汐止山區，彌補教育資源實質落差。
1,1692.3046005,2747.0318805,九、落實在地就業：督促政府建立輔導在地就業制度，發展地區經濟，如大汐止經貿園區，金山、萬里則推動觀光，引領青年返鄉就業。
1,1692.3046005,2768.2918005,十、推動綠色交通：持續汰換舊型公車，並廣設ＹＯＵＢＩＫＥ自行車租賃站。
1,1348.177968,2596.9899945,中國國民黨新北市議會黨團首屆副書記
1,1348.177968,2618.2499145,長，新北市議會審查會召集人，臺北縣
1,1348.177968,2639.5098345,議會第十六屆議員，暨南大學國際關係
1,1348.177968,2660.7697545,研究法學碩士，國立政治大學公共關係
1,1348.177968,2682.0296745,系結業，崇德文教基金會發起人、董事
1,1348.177968,2703.2895945,長，崇德國小志工、家長會會長，汐止
1,1348.177968,2724.5495145,區農會代表、理事、汐止區義消、義警
1,1348.177968,2745.8094345,、民防顧問及團長。
1,2534.8009965,3690.228231,
1,374.1756,3762.9786,沈發惠
1,540.0691995,3690.1152,55
1,542.481477,3718.459452,年
1,540.0691995,3746.8037055,11
1,542.481477,3775.1479575,月
1,540.0691995,3803.4922095,02
1,542.481477,3831.8364615,日
1,633.17784,3760.9627215,"男 臺北市 民主進步黨"
1,1063.7020035,3746.9041995,東海大學法律系，臺灣大學政
1,1063.7020035,3768.1641195,治學碩士
1,1348.177968,3683.567355,日本經產省經濟產業研究所研究、美國國
1,1348.177968,3704.827275,務院IVP計劃訪問學人、東南科技大學講
1,1348.177968,3726.087195,師。
1,1348.177968,3747.347115,野百合學運決策小組成員、第十四、十五
1,1348.177968,3768.607035,屆台北縣議員、第六屆立法委員、民進黨
1,1348.177968,3789.866955,中央黨部政策會副執行長、社
1,1580.8669995,3789.8692005,會發展部主
1,1348.177968,3811.1291205,任、第一屆新北市議員、新北市議會民進
1,1348.177968,3832.3890405,黨團總召
1,1692.3046005,3566.9057895,發惠過去四年努力推動自己的政見及承諾，許多四年前的政見都已付諸實現，但也有一些礙於主事者的態度，仍需繼續努力，例如板南線東延汐止的主張，發惠除一再質
1,1692.3046005,3588.1657095,詢，要求評估，甚至發動多次群眾陳情，但仍得不到相關單位的回應，相信未來如果主事者換人，全案仍有爭取空間，所以，類似這種主張，今年仍列入政見，爭取到底
1,1692.3046005,3609.4256295,。另礙於字數限制，許多發惠的主張無法列入公報，請參考發惠的文宣及臉書。
1,1689.2925915,3651.9454695,一、堅決反核四，核一、核二按時除役
1,1689.2925915,3673.2053895,二、反對核廢料乾式貯存，核廢料應立即提出終極處置方案、撤離北海岸
1,1689.2925915,3694.4653095,三、繼續推動板南線延伸至汐止
1,1689.2925915,3715.7252295,四、朱市長的「任內保證動工」已確定跳票，目前民汐線仍在規劃報告的審查階段，我們將持續監督要求，直到民汐線真正動工興建為止
1,1689.2925915,3736.9851495,五、鐵路真正做到「捷運化」，解決尖峰時間的經常性誤點
1,1689.2925915,3758.2450695,六、繼續爭取福
1,1813.3222005,3758.2459995,德二路跨越基隆河橋樑
1,1689.2925915,3779.5059195,七、
1,1724.7205995,3779.5057995,社后必須開闢往大湖方向的第二條聯外道路，應重新規劃不影響康樂街現有環境交通的道路路線
1,1689.2925915,3800.7657195,八、全面改善目前機車危險路段
1,1689.2925915,3822.0256395,九、繼續增設UBike站點，並設置安全的通勤自行車道
1,1689.2925915,3843.2855595,十、繼續推動串連基隆河左右岸完整河濱自行車道，並闢建高灘地河濱公園
1,1689.2925915,3864.5454795,十一、全面檢視
1,1813.3222005,3864.5449995,並改善市區內無障礙環境
1,1689.2925915,3885.8049195,十二、監督十二年國教，只考一次，取消作文優先比序
1,1689.2925915,3907.0648395,十三、監督預算合理分配，拒絕萬里金山地區升格後反遭邊緣化
1,1689.2925915,3928.3247595,十四、金山及萬里地區的都市計劃應重新檢討
1,1689.2925915,3949.5846795,十五、繼續推動瑪鋉港觀光漁市，並改善野柳、東澳、龜吼、磺港及水尾漁港的公共環境
1,374.1756,1050.1152,周雅玲
1,374.1756,3225.4484745,白珮茹
1,540.0691995,3148.8535995,64
1,542.481477,3177.197853,年
1,540.0691995,3205.542105,05
1,542.481477,3233.886357,月
