"page #",x,y,text
1,337.630533,1300.022933,出生地
1,269.838667,1299.996800,年月日
1,252.505333,1299.997067,"出 生□"
1,222.421733,1300.119733,"姓 名□"
1,299.221733,1300.090933,"性 別□"
1,437.202933,1267.869733,"學 歷□□□"
1,618.545067,1267.807333,"經 歷□□□"
1,52.569067,1299.572400,"號 次□"
1,828.464933,1267.768400,"政 見□ □ □"
1,136.021733,1300.076267,"相 片□"
1,864.120933,1469.019200,臺南市選舉委員會　編印
1,44.391333,1573.933200,"遵守選舉法令 宏揚法治精神□"
1,842.706933,1573.717467,"杜絕賄選 淨化選風□"
1,44.391333,41.763733,"人人反賄選 家家不賣票□"
1,856.225867,42.001467,"踴躍投票 選賢與能□"
1,383.106533,1300.180533,政黨
1,365.773200,1300.180933,推薦之
1,218.867200,1194.142800,"王 一 龍"
1,260.661600,1194.936933,"□ □ □年 月 日"
1,337.630533,1168.980667,"臺 南市"
1,258.149333,1178.508533,56
1,252.505333,1137.663867,3
1,258.149333,1096.540400,30
1,299.221733,1145.118667,男
1,373.737467,1145.170000,無
1,783.900533,1151.797467,一
1,783.900533,1129.397733,二
1,799.500133,1151.797067,、爭取經費整治排水系統。
1,799.500133,1129.397333,、路面柏油全面改善、保障人車安全。　
1,783.900533,1106.997600,三、清除里內空地環境整潔。　
1,406.914133,1124.361867,北門國中
1,564.067600,1129.508400,永華社區發展協會理事長
1,218.867200,984.014400,"侯 明 順"
1,260.661600,984.808400,"□ □ □年 月 日"
1,337.630533,958.852133,"臺 南市"
1,258.149333,968.398133,51
1,252.505333,927.535333,5
1,258.149333,886.398933,16
1,299.221733,934.990133,男
1,373.737467,935.041467,無
1,785.812933,942.021600,一
1,785.812933,919.621867,二
1,801.412533,942.021600,、為社區爭取福利。
1,801.412533,919.621867,、注重老人居家生活。
1,785.812933,897.222533,三、美化社區。
1,422.914000,919.880667,中國
1,564.067600,964.460267,"北門國小 年常務委員　"
1,564.067600,942.060533,北門義消分隊隊員
1,564.067600,919.660800,北門區永華里第三、四屆社區
1,564.067600,897.261467,理事長　
1,564.067600,874.862133,南天宮委員　
1,624.858933,964.461067,□
1,49.554933,1119.954933,1
1,49.554933,909.961733,2
1,58.594000,1422.715467,"臺南市第 屆里長選舉，經定於"
1,391.740405,1387.447795,舉行投票。茲依公職人員選舉罷免法第四十七條規定，
1,58.594000,1352.180947,將候選人所填報之政見及個人資料刊登如下，候選人個人資料係依據候選人所填
1,58.594000,1316.913275,列資料刊登，如有不實，由候選人自行負責。
1,179.729101,1422.715741,"□ 中華民國一百零三年十一月二十九日（星期六）"
1,58.594000,1387.448070,上午八時起至下午四時止
1,182.394000,1422.711333,2
1,64.602000,1499.248667,"臺南市北門區永華里第 屆里長選舉選舉公報□"
1,594.057467,1502.191333,2
1,71.309467,722.816933,中華民國國民年滿二十歲，即民國八十三年十一月二十九日（包括
1,71.309467,705.483600,當日）以前出生，除受監護宣告尚未撤銷外，在各該選舉區內繼續
1,71.309467,688.150267,居住四個月以上，即民國一百零三年七月二十九日（包含當日）以
1,71.309467,670.816933,前遷入設有戶籍，至民國一百零三年十一月二十八日繼續居住者，
1,71.309467,653.483600,有市長、市議員、里長選舉投票權：【上項居住期間，在行政區域
1,71.309467,636.150267,劃分選舉區者，仍以行政區域為範圍計算之。但於選舉公告發布（
1,71.309467,618.816933,一百零三年八月二十一日含當日）後，遷入各該選舉區者，無選舉
1,71.309467,601.483600,投票權】。
1,71.309467,584.150267,原住民選出之市議員，其選舉人須符合於前款規定，並分別具有「
1,71.309467,566.816933,平地原住民」或「山地原住民」身分者為限。
1,71.309467,532.150667,投開票地點（見投開票所地點設置一覽表）。
1,71.309467,514.817733,投票時攜帶本人國民身分證、印章及投票通知單；未攜帶投票通知
1,71.309467,497.484800,單者，務請記住投票通知單上之號碼，於領票時告知發票管理員。
1,71.309467,480.151867,選舉人應於規定之投票時間內到場投票，逾時不許入場，但已於規
1,71.309467,462.818933,定時間內到場，尚未投票者仍可投票。選舉人應一次進入投票所投
1,71.309467,445.486000,票，離開投票所後，不得再次進入投票所投票。
1,71.309467,428.153067,選舉人或其陪同家屬不得攜帶手機及其他攝影器材進入投票所，違
1,71.309467,410.820133,反者依公職人員選舉罷免法第一百零六條第一項規定，處新臺幣三
1,71.309467,393.487200,萬元以上三十萬元以下罰鍰。
1,71.309467,376.154267,任何人不得於投票所以攝影器材刺探選舉人圈選選舉票內容。違反
1,71.309467,358.821333,者依公職人員選舉罷免法第一百零六條第二項規定，處五年以下有
1,71.309467,341.488400,期徒刑，併科新臺幣五十萬元以下罰金，查獲之攝影器材沒收之。
1,71.309467,324.155467,選舉人圈選後，不得將圈選內容出示他人，違者依公職人員選舉罷
1,71.309467,306.822533,免法第一百零五條規定，處二年以下有期徒刑、拘役或科新臺幣二
1,71.309467,289.489600,十萬元以下罰金。
1,71.309467,272.156667,在投票所或開票所有下列情事之一者，經投票所主任管理員會同主
1,71.309467,254.823733,任監察員令其退出，而不退出者，依公職人員選舉罷免法第一百零
1,71.309467,237.490800,五條之規定，處二年以下有期徒刑、拘役或科新臺幣二十萬元以下
1,71.309467,220.157867,罰金：
1,87.976133,202.824533,在場喧嚷或干擾勸誘他人投票或不投票，不服制止。
1,87.976133,185.491200,攜帶武器或危險物品入場。
1,87.976133,168.157867,有其他不正當行為，不服制止。
1,71.309467,150.824533,選舉人領得選舉票後，應立即使用選舉機關製備之圈選工具，自行
1,71.309467,133.491200,圈選，並將選舉票摺疊投入票匭，不得逗留；如將選舉票攜出投票
1,71.309467,116.157867,所者，依公職人員選舉罷免法第一百零八條第一項規定，處一年以
1,71.309467,98.824533,下有期徒刑、拘役或科新臺幣一萬五千元以下罰金；如將選舉票以
1,54.643600,774.822533,一、投票時間：民國一百零三年十一月二十九日（星期六）上午八時
1,87.976133,757.489200,起至下午四時止。
1,54.643600,740.155867,二、選舉人資格：
1,54.643600,549.490000,三、選舉人投票應注意事項：
1,54.643600,757.489067,□□
1,54.643600,722.822533,□
1,54.643600,705.489200,□
1,54.643600,688.155867,□
1,54.643600,670.822533,□
1,54.643600,653.489200,□
1,54.643600,636.155867,□
1,54.643600,618.822533,□
1,54.643600,601.489200,□
1,54.643600,584.155867,□
1,54.643600,566.822533,□
1,54.643600,532.156267,□
1,54.643600,514.823333,□
1,54.643600,497.490400,□
1,54.643600,480.157467,□
1,54.643600,462.824533,□
1,54.643600,445.491600,□
1,54.643600,428.158667,□
1,54.643600,410.825733,□
1,54.643600,393.492800,□
